model,trigger_name,trigger_value,epoch,average_loss,accuracy,correct_data,total_data
global,global_in_41_trigger,,23,7.791470371538991,0.3791257805530776,34,8968
global,global_in_73_trigger,,23,7.724240485096914,0.412578055307761,37,8968
global,global_in_51_trigger,,23,7.686520903584789,0.412578055307761,37,8968
global,global_in_74_trigger,,23,7.016569317929134,0.6244424620874219,56,8968
41,41_trigger,,24,0.960698937540284,46.08608385370205,4133,8968
73,73_trigger,,24,0.8039504382144543,66.29125780553078,5945,8968
51,51_trigger,,24,0.24884083776682428,93.39875111507583,8376,8968
74,74_trigger,,24,0.08227419613359577,96.34255129348796,8640,8968
global,combine,,24,7.006294397665495,0.6132917038358608,55,8968
global,global_in_41_trigger,,24,7.737640594819313,0.3456735057983943,31,8968
global,global_in_73_trigger,,24,7.672998509589951,0.3679750223015165,33,8968
global,global_in_51_trigger,,24,7.628749942694467,0.3902765388046387,35,8968
global,global_in_74_trigger,,24,6.973612653475378,0.6021409455842998,54,8968
41,41_trigger,,25,0.8667953261087028,58.954058876003565,5287,8968
73,73_trigger,,25,0.2656743898123742,93.34299732381803,8371,8968
51,51_trigger,,25,0.23781025627699418,92.25022301516503,8273,8968
74,74_trigger,,25,0.08165606572546139,96.00802854594113,8610,8968
global,combine,,25,7.081782544329164,0.47948260481712757,43,8968
global,global_in_41_trigger,,25,7.916187567970351,0.23416592328278324,21,8968
global,global_in_73_trigger,,25,7.84395334148492,0.27876895628902765,25,8968
global,global_in_51_trigger,,25,7.7901125349815565,0.25646743978590547,23,8968
global,global_in_74_trigger,,25,7.067456882623133,0.5129348795718109,46,8968
